rn,bnk_type,cregnum,ogrn,bnk_name,opf,reg_date,lic_status,bnk_addr,regn,bank_name,bank_name_norm
127,Расчетная НКО,3306,1027800000931.0,НКО АО ПРЦ,НПАО,1996-11-18,Действующая,"Российская Федерация, г. Санкт-Петербург, 3-я линия Васильевского острова, дом 62, лит. А, помещение 35-Н",3306,НКО АО ПРЦ,ПЕТЕРБУРГСКИЙ РАСЧЕТНЫЙ ЦЕНТР
128,,3279,1027800000480.0,"Банк ""ТРАСТ"" (ПАО)",ПАО,1995-11-27,Действующая,"121151, г. Москва, ул. Можайский Вал, д. 8",3279,"Банк ""ТРАСТ"" (ПАО)",ТРАСТ
129,,436,1027800000140.0,"ПАО ""Банк ""Санкт-Петербург""",ПАО,1990-10-03,Действующая,"195112, г. Санкт-Петербург, Малоохтинский пр., д. 64, лит. А",436,"ПАО ""Банк ""Санкт-Петербург""",САНКТ-ПЕТЕРБУРГ
130,,1680,1027800000953.0,Креди Агриколь КИБ АО,НПАО,1991-12-24,Действующая,"Российская Федерация, 101000, г. Москва, Большой Златоустинский переулок, дом 1, строение 6",1680,Креди Агриколь КИБ АО,КРЕДИ АГРИКОЛЬ КИБ
131,,2,1027800000250.0,"АО ""КАБ ""Викинг""",НПАО,1991-12-27,Действующая,"191002, г. Санкт-Петербург, Владимирский пр. дом 17",2,"АО ""КАБ ""Викинг""",КАБ ВИКИНГ
132,,53,1027800000194.0,"ПАО Банк ""АЛЕКСАНДРОВСКИЙ""",ПАО,1992-06-30,Действующая,"191119, Санкт-Петербург, Загородный пр., 46, литер Б, корпус 2",53,"ПАО Банк ""АЛЕКСАНДРОВСКИЙ""",АЛЕКСАНДРОВСКИЙ
133,,2551,1027800000227.0,"АО Банк ""ПСКБ""",НПАО,1993-10-29,Действующая,"191123, Санкт-Петербург, ул. Шпалерная, д. 42, Литера А",2551,"АО Банк ""ПСКБ""",ПСКБ
134,,138,1027800004517.0,"АО ""Рускобанк""",НПАО,1991-04-11,Отозванная,"188640, Ленинградская область, город Всеволожск, Всеволожский проспект, дом 29",138,"АО ""Рускобанк""",РУСКОБАНК
135,,3468,1077800000167.0,Санкт-Петербургский банк инвестиций (АО),НПАО,2007-01-15,Действующая,"197101, г. Санкт-Петербург, ул. Большая Монетная, дом 16, корпус 30, Литер А",3468,Санкт-Петербургский банк инвестиций (АО),САНКТ-ПЕТЕРБУРГСКИЙ БАНК ИНВЕСТИЦИЙ
136,,720,1024700000071.0,"ПАО ""Выборг-банк""",ПАО,1990-11-06,Отозванная,"188800 Ленинградская область, город Выборг, улица Пионерская, дом 2",720,"ПАО ""Выборг-банк""",ВЫБОРГ-БАНК
