rn,bnk_type,cregnum,ogrn,bnk_name,opf,reg_date,lic_status,bnk_addr,regn,bank_name,bank_name_norm
650,Расчетная НКО,3564,1257700585834.0,"ООО РНКО ""ФИНПИЛОТ""",ООО (Паевое),2025-12-29,,"107140, г. Москва, вн.тер.г. муниципальный округ Красносельский, ул. Верхняя Красносельская, д. 16Б, стр. 2, помещ. 1/1",3564,"ООО РНКО ""ФИНПИЛОТ""",РНКО ФИНПИЛОТ
651,Расчетная НКО,3565,1267700021710.0,РНКО Альнаир (АО),НПАО,2026-01-27,,"115162, г. Москва, вн.тер.г. муниципальный округ Донской, ул. Шухова, д. 14, стр. 11, помещ. 1/1",3565,РНКО Альнаир (АО),РНКО АЛЬНАИР
652,,3425,1027744004320.0,"КБ ""Вертикаль"" (ООО)",ООО (Паевое),2002-11-06,Ликвидация,,3425,"КБ ""Вертикаль"" (ООО)",ВЕРТИКАЛЬ
653,,2229,,"КБ ""Коопторгбанк""",ООО (Паевое),1993-01-12,Ликвидация,,2229,"КБ ""Коопторгбанк""",КООПТОРГБАНК
654,,3263,1057711008552.0,"""АВГУСТОКОММЕРЦБАНК""",ООО (Паевое),1995-07-07,Ликвидация,,3263,"""АВГУСТОКОММЕРЦБАНК""",АВГУСТОКОММЕРЦБАНК
655,,1821,,"КБ ""ЭЛИКА"" (ООО)",ООО (Паевое),1992-02-27,Ликвидация,,1821,"КБ ""ЭЛИКА"" (ООО)",ЭЛИКА
656,,3377,,"ЗАО ""КБ ""Талан""",ЗАО (АО),2001-07-19,Ликвидация,,3377,"ЗАО ""КБ ""Талан""",ТАЛАН
657,,3029,1027739044761.0,"ООО КБ ""КОМИНБАНК""",ООО (Паевое),1994-08-04,Ликвидация,,3029,"ООО КБ ""КОМИНБАНК""",КОМИНБАНК
658,,3106,1020500003226.0,"ООО ""ТРАНСЭНЕРГОБАНК""",ООО (Паевое),1994-10-04,Ликвидация,,3106,"ООО ""ТРАНСЭНЕРГОБАНК""",ТРАНСЭНЕРГОБАНК
659,,2186,1050888801248.0,"ККБ ""Ниицян""",ООО (Паевое),1992-12-03,Ликвидация,,2186,"ККБ ""Ниицян""",ККБ НИИЦЯН
660,,2329,1037739760860.0,"Банк ""ЗОЛОТОЙ ВЕК""",ОАО (АО),1993-04-29,Ликвидация,,2329,"Банк ""ЗОЛОТОЙ ВЕК""",ЗОЛОТОЙ ВЕК
661,,549,1026500000537.0,"БАНК ""САХАГРО""",АООТ (АО),1990-10-23,Ликвидация,,549,"БАНК ""САХАГРО""",САХАГРО
662,,2720,1023900000255.0,"АБ ""СНБ"" (ЗАО)",ЗАО (АО),1994-02-25,Ликвидация,,2720,"АБ ""СНБ"" (ЗАО)",СНБ
663,,2384,1025400000031.0,"ОАО Банк ""Алемар""",ОАО (АО),1993-06-17,Ликвидация,,2384,"ОАО Банк ""Алемар""",АЛЕМАР
664,,2352,1067711001038.0,Рамит-банк,ЗАО (АО),1993-05-24,Ликвидация,,2352,Рамит-банк,РАМИТ-БАНК
665,,3418,1027739547549.0,"КБ ""ВЕБРР"" (ООО)",ООО (Паевое),2002-06-20,Ликвидация,,3418,"КБ ""ВЕБРР"" (ООО)",ВЕБРР
666,,3063,1037739738035.0,"КБ ""ИТ-Банк"" (ООО)",ООО (Паевое),1994-08-24,Ликвидация,,3063,"КБ ""ИТ-Банк"" (ООО)",ИТ-БАНК
667,,1668,1026500000042.0,"МАБЭС ""Сахалин-Вест"" ОАО",ОАО (АО),1991-12-16,Ликвидация,,1668,"МАБЭС ""Сахалин-Вест"" ОАО",МАБЭС САХАЛИН-ВЕСТ
668,,3284,1055000004751.0,"ЗАО ""Газэнергопромбанк""",ЗАО (АО),1996-02-08,Ликвидация,,3284,"ЗАО ""Газэнергопромбанк""",ГАЗЭНЕРГОПРОМБАНК
669,,2562,1027700159442.0,"ПАО ""БИНБАНК""",ПАО,1993-11-01,Ликвидация,,2562,"ПАО ""БИНБАНК""",БИНБАНК
670,,1351,1037711005364.0,БАНК ДЕЛОВАЯ РОССИЯ,АООТ (АО),1991-01-22,Ликвидация,,1351,БАНК ДЕЛОВАЯ РОССИЯ,ДЕЛОВАЯ РОССИЯ
671,,1200,1027739136490.0,"ОАО ""МБС""",ОАО (АО),1990-12-21,Ликвидация,,1200,"ОАО ""МБС""",МБС
672,,900,,"КБ ""Красбанк""",ООО (Паевое),1990-11-22,Ликвидация,,900,"КБ ""Красбанк""",КРАСБАНК
673,,418,,"АКБ ""Заря Урала""",АООТ (АО),1990-09-26,Ликвидация,,418,"АКБ ""Заря Урала""",ЗАРЯ УРАЛА
674,,733,,"КОМБАНК ""АСТРОН""",ООО (Паевое),1990-11-12,Ликвидация,,733,"КОМБАНК ""АСТРОН""",КОМБАНК АСТРОН
675,,943,1023300000074.0,"АКБ ""Алекскомбанк"" ЗАО",ЗАО (АО),1990-11-23,Ликвидация,,943,"АКБ ""Алекскомбанк"" ЗАО",АЛЕКСКОМБАНК
676,Расчетная НКО,3010,1027739137810.0,"ООО РНКО ""ИСБ""",ООО (Паевое),1994-08-03,Ликвидация,,3010,"ООО РНКО ""ИСБ""",РНКО ИСБ
677,,1354,1027700381290.0,РНКБ Банк (ПАО),ПАО,1991-01-25,Ликвидация,,1354,РНКБ Банк (ПАО),РНКБ БАНК
678,,2596,1047711003240.0,"ОАО ""Гинес-банк""",ОАО (АО),1993-12-03,Ликвидация,,2596,"ОАО ""Гинес-банк""",ГИНЕС-БАНК
679,,764,,ОАО ОКАбанк,ОАО (АО),1990-11-14,Ликвидация,,764,ОАО ОКАбанк,ОКАБАНК
680,,3218,1027739049403.0,"АКБ ""ОБЩИЙ"" (ОАО)",ОАО (АО),1995-02-15,Ликвидация,,3218,"АКБ ""ОБЩИЙ"" (ОАО)",ОБЩИЙ
681,,69,1037739766943.0,"ООО КБ ""Стройинвест""",ООО (Паевое),1992-08-04,Ликвидация,,69,"ООО КБ ""Стройинвест""",СТРОЙИНВЕСТ
682,,2102,1027739496916.0,"КБ ""Банк инвестиций и кредитования"" (ООО)",ООО (Паевое),1992-10-06,Ликвидация,,2102,"КБ ""Банк инвестиций и кредитования"" (ООО)",ИНВЕСТИЦИЙ И КРЕДИТОВАНИЯ
683,,38,1047711001250.0,"АКБ ""НЕФТЕХИМБАНК""",ОАО (АО),1992-01-16,Ликвидация,,38,"АКБ ""НЕФТЕХИМБАНК""",НЕФТЕХИМБАНК
684,,2055,1027739824881.0,Айви Банк (АО),НПАО,1992-09-11,Ликвидация,,2055,Айви Банк (АО),АЙВИ БАНК
685,Расчетная НКО,3419,1023500000138.0,"ООО НКО ""Столичная расчетная палата""",ООО (Паевое),2002-08-16,Ликвидация,,3419,"ООО НКО ""Столичная расчетная палата""",СТОЛИЧНАЯ РАСЧЕТНАЯ ПАЛАТА
686,,3076,1037739168004.0,"ООО КБ ""РТБ-Банк""",ООО (Паевое),1994-09-06,Ликвидация,,3076,"ООО КБ ""РТБ-Банк""",РТБ-БАНК
687,,1601,1027739042430.0,"ООО КБ ""Содбизнесбанк""",ООО (Паевое),1991-10-25,Ликвидация,,1601,"ООО КБ ""Содбизнесбанк""",СОДБИЗНЕСБАНК
688,,3401,1026300001947.0,"АО ""РТС-Банк""",НПАО,2002-04-11,Ликвидация,,3401,"АО ""РТС-Банк""",РТС-БАНК
689,,2053,1027100000014.0,"ПАО ""Спиритбанк""",ПАО,1992-09-08,Ликвидация,,2053,"ПАО ""Спиритбанк""",СПИРИТБАНК
690,,1812,1027739649266.0,"ЗАО АКБ ""Хлебобанк""",ЗАО (АО),1992-02-21,Ликвидация,,1812,"ЗАО АКБ ""Хлебобанк""",ХЛЕБОБАНК
691,,2742,1027739030725.0,"""МИ-БАНК"" (ОАО)",ОАО (АО),1994-03-05,Ликвидация,,2742,"""МИ-БАНК"" (ОАО)",МИ-БАНК
692,,936,,"ООО Банк ""Лена""",ООО (Паевое),1990-11-23,Ликвидация,,936,"ООО Банк ""Лена""",ЛЕНА
693,,2136,1027700523718.0,"КБ ""Экономикс-Банк"" (ООО)",ООО (Паевое),1992-11-03,Ликвидация,,2136,"КБ ""Экономикс-Банк"" (ООО)",ЭКОНОМИКС-БАНК
694,,1824,1027200000794.0,"ОАО ""Сибэкономбанк""",ОАО (АО),1992-02-11,Ликвидация,,1824,"ОАО ""Сибэкономбанк""",СИБЭКОНОМБАНК
695,,2969,1032202361410.0,"АКБ ""ЭЛИН-БАНК""",ОАО (АО),1994-07-15,Ликвидация,,2969,"АКБ ""ЭЛИН-БАНК""",ЭЛИН-БАНК
696,,2848,1026300002519.0,"КБ ""ЮНИТБАНК"" (ЗАО)",ЗАО (АО),1994-05-17,Ликвидация,,2848,"КБ ""ЮНИТБАНК"" (ЗАО)",ЮНИТБАНК
697,,1956,1027800001987.0,"ООО КБ ""Инвест-Экобанк""",ООО (Паевое),1992-07-10,Ликвидация,,1956,"ООО КБ ""Инвест-Экобанк""",ИНВЕСТ-ЭКОБАНК
698,,2558,1037711007740.0,"АКБ ""АСКОбанк""",ЗАО (АО),1993-11-01,Ликвидация,,2558,"АКБ ""АСКОбанк""",АСКОБАНК
699,,709,1028900000073.0,"ОАО Банк ""Пурпе""",ОАО (АО),1990-11-02,Ликвидация,,709,"ОАО Банк ""Пурпе""",ПУРПЕ
700,,2543,1027739076144.0,КБ МКБ (ООО),ООО (Паевое),1993-10-25,Ликвидация,,2543,КБ МКБ (ООО),МКБ
701,,2533,,"""Демидовский банк""",ТОО (Паевое),1993-10-19,Ликвидация,,2533,"""Демидовский банк""",ДЕМИДОВСКИЙ БАНК
702,,2770,1027200000398.0,"ЗАО ""БРИ""",ЗАО (АО),1994-03-31,Ликвидация,,2770,"ЗАО ""БРИ""",БРИ
703,,532,1021800000177.0,"ОАО ""Мобилбанк""",ОАО (АО),1990-10-19,Ликвидация,,532,"ОАО ""Мобилбанк""",МОБИЛБАНК
704,,2045,,"КБ ""НЭПП-Банк""",ООО (Паевое),1992-09-03,Ликвидация,,2045,"КБ ""НЭПП-Банк""",НЭПП-БАНК
705,,3477,1077711000180.0,"ООО ""Атлас Банк""",ООО (Паевое),2007-10-17,Ликвидация,,3477,"ООО ""Атлас Банк""",АТЛАС БАНК
706,,1895,1030500001388.0,"""МАБ КББ""",ОАО (АО),1992-06-03,Ликвидация,,1895,"""МАБ КББ""",КББ
707,,745,,"ООО КБ ""Устюг-банк""",ООО (Паевое),1990-11-13,Ликвидация,,745,"ООО КБ ""Устюг-банк""",УСТЮГ-БАНК
708,,130,,СРЕДУРАЛБАНК,ОАО (АО),1992-05-12,Ликвидация,,130,СРЕДУРАЛБАНК,СРЕДУРАЛБАНК
709,,2887,1020500000190.0,"ООО ИКБ ""СТОЛИЧНЫЙ КАПИТАЛ""",ООО (Паевое),1994-06-10,Ликвидация,,2887,"ООО ИКБ ""СТОЛИЧНЫЙ КАПИТАЛ""",ИКБ СТОЛИЧНЫЙ КАПИТАЛ
710,,1752,1021300000072.0,"АО ""КС БАНК""",НПАО,1992-04-13,Ликвидация,,1752,"АО ""КС БАНК""",КС БАНК
711,,94,1027739560420.0,"ООО ""ОПТИМУМБАНК""",ООО (Паевое),1991-12-28,Ликвидация,,94,"ООО ""ОПТИМУМБАНК""",ОПТИМУМБАНК
712,,3233,1027739691011.0,"ООО ИКБ ""ЛОГОС""",ООО (Паевое),1995-03-14,Ликвидация,,3233,"ООО ИКБ ""ЛОГОС""",ИКБ ЛОГОС
713,,234,1027739650267.0,"КБ ""Первый Городской Банк"" (ОАО)",ОАО (АО),1992-03-02,Ликвидация,,234,"КБ ""Первый Городской Банк"" (ОАО)",ПЕРВЫЙ ГОРОДСКОЙ БАНК
714,,1124,1023900000882.0,"АКБ ""ЭМБАКЕНИГБАНК"" (ЗАО)",ЗАО (АО),1990-12-07,Ликвидация,,1124,"АКБ ""ЭМБАКЕНИГБАНК"" (ЗАО)",ЭМБАКЕНИГБАНК
715,Расчетная НКО,2749,1027739588205.0,"ООО РНКО ""РИБ""",ООО (Паевое),1994-03-15,Ликвидация,,2749,"ООО РНКО ""РИБ""",РНКО РИБ
716,,2428,1026300001860.0,"ООО ""ВСБ""",ООО (Паевое),1993-07-21,Ликвидация,,2428,"ООО ""ВСБ""",ВСБ
717,,2413,1031802490060.0,"банк ""Конверсия""",ОАО (АО),1993-07-08,Ликвидация,,2413,"банк ""Конверсия""",КОНВЕРСИЯ
718,,36,1037711003604.0,АЭРОФЛОТБАНК,ТОО (Паевое),1991-12-27,Ликвидация,,36,АЭРОФЛОТБАНК,АЭРОФЛОТБАНК
719,,2635,,"АКБ ""БАРН""",ЗАО (АО),1993-12-30,Ликвидация,,2635,"АКБ ""БАРН""",БАРН
720,,1911,1027800000062.0,КИТ Финанс Инвестиционный банк (ОАО),ОАО (АО),1992-06-11,Ликвидация,,1911,КИТ Финанс Инвестиционный банк (ОАО),КИТ ФИНАНС ИНВЕСТИЦИОННЫЙ БАНК
721,,3310,,Банк Австрия Кредитанштальт (Россия) ЗАО,ЗАО (АО),1997-03-03,Ликвидация,,3310,Банк Австрия Кредитанштальт (Россия) ЗАО,АВСТРИЯ КРЕДИТАНШТАЛЬТ РОССИЯ
722,Расчетная НКО,3353,1037739751224.0,"НКО ООО ""АРБ-ИНКАСС""",ООО (Паевое),2000-11-10,Ликвидация,,3353,"НКО ООО ""АРБ-ИНКАСС""",АРБ-ИНКАСС
723,,3072,,Инкасбанк,ОАО (АО),1994-09-05,Ликвидация,,3072,Инкасбанк,ИНКАСБАНК
724,,2446,1023900000046.0,"ККБ ""АТЛАНТБАНК"" (ЗАО)",ЗАО (АО),1993-08-02,Ликвидация,,2446,"ККБ ""АТЛАНТБАНК"" (ЗАО)",ККБ АТЛАНТБАНК
725,,3297,1037739061931.0,"КБ ""НАЦИОНАЛЬНЫЙ"" (ООО)",ООО (Паевое),1996-07-23,Ликвидация,,3297,"КБ ""НАЦИОНАЛЬНЫЙ"" (ООО)",НАЦИОНАЛЬНЫЙ
726,,3288,1037858008506.0,"ООО КБ ""Финансовый капитал""",ООО (Паевое),1996-04-03,Ликвидация,,3288,"ООО КБ ""Финансовый капитал""",ФИНАНСОВЫЙ КАПИТАЛ
727,,2514,1037700023877.0,"АКБ ""Фалькон"" (ОАО)",ОАО (АО),1993-09-29,Ликвидация,,2514,"АКБ ""Фалькон"" (ОАО)",ФАЛЬКОН
728,,2189,1120200003263.0,"ЗАО ""Башинвестбанк""",ЗАО (АО),1992-12-02,Ликвидация,,2189,"ЗАО ""Башинвестбанк""",БАШИНВЕСТБАНК
729,,2379,,"АКБ ""УНИТОРГБАНК""",ЗАО (АО),1993-06-10,Ликвидация,,2379,"АКБ ""УНИТОРГБАНК""",УНИТОРГБАНК
730,,1699,1021100004639.0,"КБ ""Нива-банк""",ООО (Паевое),1992-01-29,Ликвидация,,1699,"КБ ""Нива-банк""",НИВА-БАНК
731,,2912,1027739178576.0,"""ИХБ"" ОАО",ОАО (АО),1994-06-21,Ликвидация,,2912,"""ИХБ"" ОАО",ИХБ
732,,1796,1032100000118.0,"АКБ ""Профинбанк""",ОАО (АО),1992-05-11,Ликвидация,,1796,"АКБ ""Профинбанк""",ПРОФИНБАНК
733,,3104,1037739057410.0,"ООО КБ ""ФИНТРАСТБАНК""",ООО (Паевое),1994-10-04,Ликвидация,,3104,"ООО КБ ""ФИНТРАСТБАНК""",ФИНТРАСТБАНК
734,,2480,1026700000018.0,"ОАО Банк ""Аскольд""",ОАО (АО),1993-09-03,Ликвидация,,2480,"ОАО Банк ""Аскольд""",АСКОЛЬД
735,Расчетная НКО,3326,1026600000745.0,ЗАО УРП,ЗАО (АО),1997-12-31,Ликвидация,,3326,ЗАО УРП,УРП
736,,1954,,"КБ ""Севернефтьбанк""",ООО (Паевое),1992-07-10,Ликвидация,,1954,"КБ ""Севернефтьбанк""",СЕВЕРНЕФТЬБАНК
737,,1196,,"ОАО КБ ""Костромабанк""",ОАО (АО),1990-12-14,Ликвидация,,1196,"ОАО КБ ""Костромабанк""",КОСТРОМАБАНК
738,,2332,,Евросевербанк,АООТ (АО),1993-04-30,Ликвидация,,2332,Евросевербанк,ЕВРОСЕВЕРБАНК
739,,1164,1035000018382.0,ИБЭС,ТОО (Паевое),1990-12-12,Ликвидация,,1164,ИБЭС,ИБЭС
740,,2616,,"АО ""АККОР-БАНК""",АОЗТ (АО),1993-12-14,Ликвидация,,2616,"АО ""АККОР-БАНК""",АККОР-БАНК
741,Расчетная НКО,1618,1020900001792.0,"АО ""Интеррасчет"" РНКО",НПАО,1991-11-04,Ликвидация,,1618,"АО ""Интеррасчет"" РНКО",ИНТЕРРАСЧЕТ РНКО
742,Расчетная НКО,3335,1107711000077.0,"НКО ""Расчетная палата РТС"" (ЗАО)",ЗАО (АО),1998-12-31,Ликвидация,,3335,"НКО ""Расчетная палата РТС"" (ЗАО)",РАСЧЕТНАЯ ПАЛАТА РТС
743,Расчетная НКО,3383,1027739510908.0,"НКО ""Евроинвест"" (ООО)",ООО (Паевое),2001-11-05,Ликвидация,,3383,"НКО ""Евроинвест"" (ООО)",ЕВРОИНВЕСТ
744,Расчетная НКО,3472,1073500001640.0,"НКО ""КредитАльянс"" (ООО)",ООО (Паевое),2007-06-21,Ликвидация,,3472,"НКО ""КредитАльянс"" (ООО)",КРЕДИТАЛЬЯНС
745,,2223,1026600000338.0,"ЗАО ""Банк ВЕФК-Урал""",ЗАО (АО),1992-12-30,Ликвидация,,2223,"ЗАО ""Банк ВЕФК-Урал""",ВЕФК-УРАЛ
746,,2965,1027739010760.0,"КБ ""СОЮЗПРОМБАНК"" ООО",ООО (Паевое),1994-07-12,Ликвидация,,2965,"КБ ""СОЮЗПРОМБАНК"" ООО",СОЮЗПРОМБАНК
747,,3393,1020700000310.0,"КБ ""РИАЛ-КРЕДИТ"" (ООО)",ООО (Паевое),2002-01-23,Ликвидация,,3393,"КБ ""РИАЛ-КРЕДИТ"" (ООО)",РИАЛ-КРЕДИТ
748,,1218,1024500000590.0,АКБ Курганпромбанк (ОАО),ОАО (АО),1990-12-17,Ликвидация,,1218,АКБ Курганпромбанк (ОАО),КУРГАНПРОМБАНК
749,,1242,1024800001852.0,"ПАО ""Липецккомбанк""",ПАО,1990-12-20,Ликвидация,,1242,"ПАО ""Липецккомбанк""",ЛИПЕЦККОМБАНК
750,,3183,1167700059042.0,"АО ""Азия Банк""",НПАО,1994-12-22,Ликвидация,,3183,"АО ""Азия Банк""",АЗИЯ БАНК
751,,3445,1037711012987.0,"ООО КБ ""Взаимный банк""",ООО (Паевое),2003-10-21,Ликвидация,,3445,"ООО КБ ""Взаимный банк""",ВЗАИМНЫЙ БАНК
752,,1886,1037711001459.0,"АБ ""ЭксНет""",ОАО (АО),1992-05-27,Ликвидация,,1886,"АБ ""ЭксНет""",ЭКСНЕТ
753,,260,1027200507036.0,"ООО ""Комбанк ""Тюмень""",ООО (Паевое),1991-03-06,Ликвидация,,260,"ООО ""Комбанк ""Тюмень""",КОМБАНК ТЮМЕНЬ
754,,3441,1037711005804.0,"КБ ""БРТ"" (АО)",НПАО,2003-07-21,Ликвидация,,3441,"КБ ""БРТ"" (АО)",БРТ
755,,2891,1027739069687.0,"АКБ ""Кредитсоюзкомбанк"" (ЗАО)",ЗАО (АО),1994-06-10,Ликвидация,,2891,"АКБ ""Кредитсоюзкомбанк"" (ЗАО)",КРЕДИТСОЮЗКОМБАНК
756,,1123,,"КБ ""НЕЯ""",ТОО (Паевое),1990-12-07,Ликвидация,,1123,"КБ ""НЕЯ""",НЕЯ
757,,1127,,"ООО КБ ""Усть-Кокса""",ООО (Паевое),1990-12-07,Ликвидация,,1127,"ООО КБ ""Усть-Кокса""",УСТЬ-КОКСА
758,,3191,1027739805884.0,"АКБ ""Инбанкпродукт"" ОАО",ОАО (АО),1994-12-30,Ликвидация,,3191,"АКБ ""Инбанкпродукт"" ОАО",ИНБАНКПРОДУКТ
759,,2524,1027700053776.0,"КБ ""МКБ"" (АО)",НПАО,1993-10-05,Ликвидация,,2524,"КБ ""МКБ"" (АО)",МКБ
760,,2783,1027739058027.0,"Инвестиционный банк ""ТРАСТ"" (ОАО)",ОАО (АО),1994-04-06,Ликвидация,,2783,"Инвестиционный банк ""ТРАСТ"" (ОАО)",ИНВЕСТИЦИОННЫЙ БАНК ТРАСТ
761,,2083,1026600000184.0,"(Банк ""СЕВЕРНАЯ КАЗНА"" ОАО)",ОАО (АО),1992-09-09,Ликвидация,,2083,"(Банк ""СЕВЕРНАЯ КАЗНА"" ОАО)",СЕВЕРНАЯ КАЗНА
762,,871,,"КБ ""Орсксельхозбанк""",ООО (Паевое),1990-11-20,Ликвидация,,871,"КБ ""Орсксельхозбанк""",ОРСКСЕЛЬХОЗБАНК
763,,2851,1021500000103.0,К2 Банк (АО),НПАО,1994-05-17,Ликвидация,,2851,К2 Банк (АО),К2 БАНК
764,,1827,1025000000266.0,"ОАО КБ ""СОЦГОРБАНК""",ОАО (АО),1992-02-28,Ликвидация,,1827,"ОАО КБ ""СОЦГОРБАНК""",СОЦГОРБАНК
765,Расчетная НКО,3400,1027739287333.0,"РНКО ""ЦМР"" (ООО)",ООО (Паевое),2002-03-18,Ликвидация,,3400,"РНКО ""ЦМР"" (ООО)",РНКО ЦМР
766,,3107,1027739199542.0,"Банк ""Диалог-Оптим"" (ООО)",ООО (Паевое),1994-10-04,Ликвидация,,3107,"Банк ""Диалог-Оптим"" (ООО)",ДИАЛОГ-ОПТИМ
767,Расчетная НКО,2884,1026400001781.0,"АО РНКО ""Синергия""",НПАО,1994-06-10,Ликвидация,,2884,"АО РНКО ""Синергия""",РНКО СИНЕРГИЯ
768,НБКО,3387,1023700002259.0,"ЗАО НКО ""Волга-Теза""",ЗАО (АО),2001-11-05,Ликвидация,,3387,"ЗАО НКО ""Волга-Теза""",ВОЛГА-ТЕЗА
769,,2553,1020280000080.0,"КБ ООО ""Соцкредитбанк""",ООО (Паевое),1993-10-29,Ликвидация,,2553,"КБ ООО ""Соцкредитбанк""",СОЦКРЕДИТБАНК
770,НБКО,3305,1037739000056.0,"ООО ""МФД-Клиринг""",ООО (Паевое),1996-10-01,Ликвидация,,3305,"ООО ""МФД-Клиринг""",МФД-КЛИРИНГ
771,,1567,1037739771574.0,"МКБ ""Бадр-Форте Банк"" (ЗАО)",ЗАО (АО),1991-09-11,Ликвидация,,1567,"МКБ ""Бадр-Форте Банк"" (ЗАО)",МКБ БАДР-ФОРТЕ БАНК
772,,235,1027739178730.0,"ООО КБ ""Профбанк""",ООО (Паевое),1993-01-26,Ликвидация,,235,"ООО КБ ""Профбанк""",ПРОФБАНК
773,,3358,1027744001636.0,"ЗАО КБ ""ФТБ""",ЗАО (АО),2000-12-20,Ликвидация,,3358,"ЗАО КБ ""ФТБ""",ФТБ
774,,2391,,"ОАО ""ПНБ""",ОАО (АО),1993-06-18,Ликвидация,,2391,"ОАО ""ПНБ""",ПНБ
775,,1881,,"АКБ ""СМОЛЕНСК""",АОЗТ (АО),1992-05-28,Ликвидация,,1881,"АКБ ""СМОЛЕНСК""",СМОЛЕНСК
776,,1742,1047711005132.0,"КБ ""ТАГАНСКИЙ""",ООО (Паевое),1992-04-06,Ликвидация,,1742,"КБ ""ТАГАНСКИЙ""",ТАГАНСКИЙ
777,,605,1027700115850.0,"Банк ""Первое ОВК"" (ОАО)",ОАО (АО),1990-10-26,Ликвидация,,605,"Банк ""Первое ОВК"" (ОАО)",ПЕРВОЕ ОВК
778,,1153,1026300001815.0,"ОАО ""ВКБ""",ОАО (АО),1990-12-11,Ликвидация,,1153,"ОАО ""ВКБ""",ВКБ
779,,2142,1027739048204.0,"ОАО ""ТрансКредитБанк""",ОАО (АО),1992-11-04,Ликвидация,,2142,"ОАО ""ТрансКредитБанк""",ТРАНСКРЕДИТБАНК
780,,1717,1027700259058.0,Банкхаус Эрбе (АО),НПАО,1992-01-07,Ликвидация,,1717,Банкхаус Эрбе (АО),БАНКХАУС ЭРБЕ
781,,2872,1027739458746.0,"ООО КБ ""ИФКО-БАНК""",ООО (Паевое),1994-06-09,Ликвидация,,2872,"ООО КБ ""ИФКО-БАНК""",ИФКО-БАНК
782,,1514,1026100001971.0,"ОАО ""ИБРР-банк""",ОАО (АО),1991-06-24,Ликвидация,,1514,"ОАО ""ИБРР-банк""",ИБРР-БАНК
783,,546,1027744005618.0,"ОАО ""Принтбанк""",ОАО (АО),1990-10-22,Ликвидация,,546,"ОАО ""Принтбанк""",ПРИНТБАНК
784,,608,1027739326207.0,"АБ ""АСПЕКТ"" (АО)",НПАО,1990-10-26,Ликвидация,,608,"АБ ""АСПЕКТ"" (АО)",АСПЕКТ
785,,1019,1116300000761.0,"ОАО ""ПотенциалБанк""",ОАО (АО),1990-11-29,Ликвидация,,1019,"ОАО ""ПотенциалБанк""",ПОТЕНЦИАЛБАНК
786,,1661,1027739126865.0,"КБ ""Москва"" (ПАО)",ПАО,1991-12-16,Ликвидация,,1661,"КБ ""Москва"" (ПАО)",МОСКВА
787,,1704,1025400000053.0,"ООО КБ ""Взаимодействие""",ООО (Паевое),1992-01-08,Ликвидация,,1704,"ООО КБ ""Взаимодействие""",ВЗАИМОДЕЙСТВИЕ
788,НДКО,3458,1057711008068.0,"ЗАО НДКО ""ЖМС""",ЗАО (АО),2005-06-30,Ликвидация,,3458,"ЗАО НДКО ""ЖМС""",НДКО ЖМС
789,,122,1027739250934.0,"ЗАО ""КОНВЕРСБАНК""",ЗАО (АО),1992-02-27,Ликвидация,,122,"ЗАО ""КОНВЕРСБАНК""",КОНВЕРСБАНК
790,,3122,1027739495794.0,"АКБ ""Ресурс-траст"" (АО)",НПАО,1994-10-11,Ликвидация,,3122,"АКБ ""Ресурс-траст"" (АО)",РЕСУРС-ТРАСТ
791,,2646,1027739259360.0,"АО ""БАНК РЕАЛИСТ""",НПАО,1994-01-17,Ликвидация,,2646,"АО ""БАНК РЕАЛИСТ""",РЕАЛИСТ
792,,3428,1027744006124.0,"ООО КБ ""РФО""",ООО (Паевое),2002-12-10,Ликвидация,,3428,"ООО КБ ""РФО""",РФО
793,,2917,1027739056289.0,"КБ ""СОЦЭКОНОМБАНК"" ООО",ООО (Паевое),1994-06-24,Ликвидация,,2917,"КБ ""СОЦЭКОНОМБАНК"" ООО",СОЦЭКОНОМБАНК
794,,2690,,"АКБ ""МИНМАШБАНК""",АОЗТ (АО),1994-02-14,Ликвидация,,2690,"АКБ ""МИНМАШБАНК""",МИНМАШБАНК
795,,1320,1021200007960.0,"МАКБ ""МАРПРОМБАНК""",ОАО (АО),1990-12-29,Ликвидация,,1320,"МАКБ ""МАРПРОМБАНК""",МАКБ МАРПРОМБАНК
796,НБКО,3331,1024500000612.0,"ООО ""Курганинкасс""",ООО (Паевое),1998-08-13,Ликвидация,,3331,"ООО ""Курганинкасс""",КУРГАНИНКАСС
797,,3360,1022300000029.0,"ПАО ""Крайинвестбанк""",ПАО,2001-02-14,Ликвидация,,3360,"ПАО ""Крайинвестбанк""",КРАЙИНВЕСТБАНК
798,,3370,1027739140220.0,"ООО КБ ""МК Банк""",ООО (Паевое),2001-04-11,Ликвидация,,3370,"ООО КБ ""МК Банк""",МК БАНК
799,,3110,1027739340375.0,"КБ ""ТВК Банк"" (ООО)",ООО (Паевое),1994-10-10,Ликвидация,,3110,"КБ ""ТВК Банк"" (ООО)",ТВК БАНК
800,,1421,1027739064561.0,"ОАО ""ВИП-БАНК""",ОАО (АО),1991-03-21,Ликвидация,,1421,"ОАО ""ВИП-БАНК""",ВИП-БАНК
801,,2491,1020500000157.0,"ООО КБ ""Алжан""",ООО (Паевое),1993-09-13,Ликвидация,,2491,"ООО КБ ""Алжан""",АЛЖАН
